date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:44	205886/205886	---M--	200	added ('OK')	image/webp	etag:%223243e-616ff1fe77d00%22	https://bit2sky.com/assets/images/portfolio/portfolio-non-profit-organization.webp	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/portfolio/portfolio-non-profit-organization.webp	(from https://bit2sky.com/portfolio)
17:36:44	200868/200868	---M--	200	added ('OK')	image/webp	etag:%22310a4-616ff1fe77d00%22	https://bit2sky.com/assets/images/portfolio/portfolio-seniorcare.webp	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/portfolio/portfolio-seniorcare.webp	(from https://bit2sky.com/portfolio)
17:36:45	5660/5660	---M--	200	added ('OK')	image/png	etag:%22161c-615f83fa34000%22	https://bit2sky.com/assets/images/icons/vision.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/vision.png	(from https://bit2sky.com/intelligent-document-management-using-machine-learning)
17:36:45	3745/3745	---M--	200	added ('OK')	image/png	etag:%22ea1-615f83fa34000%22	https://bit2sky.com/assets/images/icons/mountain.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/mountain.png	(from https://bit2sky.com/intelligent-document-management-using-machine-learning)
17:36:48	1696/1696	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226a0-615f83fa34000%22	https://bit2sky.com/assets/images/icons/trasparency.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/trasparency.svg	(from https://bit2sky.com/intelligent-document-management-using-machine-learning)
17:36:50	346621/346621	---M--	200	added ('OK')	image/png	etag:%22549fd-61df90e586440%22	https://bit2sky.com/assets/images/other/about-img-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/about-img-1.png	(from https://bit2sky.com/about)
17:36:50	146722/146722	---M--	200	added ('OK')	image/png	etag:%2223d22-61df90e586440%22	https://bit2sky.com/assets/images/other/team-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/team-1.png	(from https://bit2sky.com/about)
17:36:51	105097/105097	---M--	200	added ('OK')	image/png	etag:%2219a89-61df90e586440%22	https://bit2sky.com/assets/images/other/team-2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/team-2.png	(from https://bit2sky.com/about)
17:36:51	27026/27026	---M--	200	added ('OK')	image/png	etag:%226992-61df90e586440%22	https://bit2sky.com/assets/images/other/team-4.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/team-4.png	(from https://bit2sky.com/about)
17:36:51	551085/551085	---M--	200	added ('OK')	image/png	etag:%22868ad-61df90e586440%22	https://bit2sky.com/assets/images/other/header-bg-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/header-bg-1.png	(from https://bit2sky.com/about)
